HomeTeam,AwayTeam,FTHG,FTAG
Atalanta,Verona,2.0625,1.034
Milan,Cagliari,1.855,0.9165
Lecce,Frosinone,1.095,0.773
Torino,Fiorentina,1.0965,1.2095
Napoli,Inter,2.1,1.867
Udinese,Lazio,1.4035,1.567
Roma,Salernitana,1.598,0.859
Empoli,Juventus,1.2095,1.3455
Cagliari,Sassuolo,1.2495,1.4855
Salernitana,Udinese,1.282,1.1655
Frosinone,Torino,0.9855,1.2515
Fiorentina,Roma,1.604,1.4365
Inter,Atalanta,2.237,1.7535
Verona,Empoli,1.307,0.8935
Bologna,Napoli,1.353,1.904
Monza,Lecce,1.3285,0.8375
Lazio,Genoa,1.918,0.8685
Juventus,Milan,1.8885,1.652
Sassuolo,Fiorentina,1.4615,1.2095
Torino,Inter,1.0965,1.867
Genoa,Salernitana,1.0705,0.859
Empoli,Lazio,1.2095,1.567
Napoli,Cagliari,2.1,0.9165
Atalanta,Monza,2.0625,1.079
Lecce,Bologna,1.095,1.2995
Milan,Verona,1.855,1.034
Roma,Frosinone,1.598,0.773
Udinese,Juventus,1.4035,1.3455
